,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date
8968,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,70,6,69,2020-09-19
8969,ily,Surf Mesa Featuring Emilee,70,82,15,70,2020-09-19
8970,Breaking Me,Topic & A7S,71,71,6,71,2020-09-19
8971,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,72,72,13,72,2020-09-19
8972,Kacey Talk,YoungBoy Never Broke Again,58,65,3,73,2020-09-19
8973,Some Girls,Jameson Rodgers,74,78,4,74,2020-09-19
8974,Kings & Queens,Ava Max,73,73,4,75,2020-09-19
8975,Why We Drink,Justin Moore,50,60,14,76,2020-09-19
8976,One Night Standards,Ashley McBryde,76,80,13,77,2020-09-19
8977,My Future,Billie Eilish,6,57,5,78,2020-09-19
8978,Blastoff,Internet Money Featuring Juice WRLD & Trippie Redd,79,0,1,79,2020-09-19
8979,Pretty Heart,Parker McCollum,75,75,8,80,2020-09-19
8980,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,77,6,81,2020-09-19
8981,I Called Mama,Tim McGraw,61,61,5,82,2020-09-19
8982,Expensive,Ty Dolla $ign Featuring Nicki Minaj,83,0,1,83,2020-09-19
8983,Caramelo,Ozuna x Karol G x Myke Towers,81,81,3,84,2020-09-19
8984,Martin & Gina,Polo G,61,83,5,85,2020-09-19
8985,Dollaz On My Head,Gunna Featuring Young Thug,38,84,13,86,2020-09-19
8986,You Broke Me First.,Tate McRae,87,95,2,87,2020-09-19
8987,Need It,Migos Featuring YoungBoy Never Broke Again,62,69,14,88,2020-09-19
8988,After Party,Don Toliver,57,88,19,89,2020-09-19
8989,Lets Link,WhoHeem,90,0,1,90,2020-09-19
8990,Stuck With U,Ariana Grande & Justin Bieber,1,89,17,91,2020-09-19
8991,The 1,Taylor Swift,4,85,6,92,2020-09-19
8992,Lonely If You Are,Chase Rice,93,94,3,93,2020-09-19
8993,Done,Chris Janson,41,76,12,94,2020-09-19
8994,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,93,4,95,2020-09-19
8995,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,92,11,96,2020-09-19
8996,All In,YoungBoy Never Broke Again,90,90,2,97,2020-09-19
8997,Got It On Me,Pop Smoke,31,91,9,98,2020-09-19
8998,Ain't Always The Cowboy,Jon Pardi,99,0,1,99,2020-09-19
8999,Girl Of My Dreams,Rod Wave,65,87,16,100,2020-09-19
9000,WAP,Cardi B Featuring Megan Thee Stallion,1,2,5,1,2020-09-26
9001,Dynamite,BTS,1,1,3,2,2020-09-26
9002,Laugh Now Cry Later,Drake Featuring Lil Durk,2,3,4,3,2020-09-26
9003,Rockstar,DaBaby Featuring Roddy Ricch,1,4,21,4,2020-09-26
9004,Blinding Lights,The Weeknd,1,5,41,5,2020-09-26
9005,Mood,24kGoldn Featuring iann dior,6,8,5,6,2020-09-26
9006,Watermelon Sugar,Harry Styles,1,6,25,7,2020-09-26
9007,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,7,31,8,2020-09-26
9008,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,9,13,9,2020-09-26
9009,Popstar,DJ Khaled Featuring Drake,3,24,8,10,2020-09-26
9010,Before You Go,Lewis Capaldi,10,10,32,11,2020-09-26
9011,I Hope,Gabby Barrett Featuring Charlie Puth,10,12,37,12,2020-09-26
9012,Roses,SAINt JHN,4,11,25,13,2020-09-26
9013,Go Crazy,Chris Brown & Young Thug,9,14,18,14,2020-09-26
9014,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,17,10,15,2020-09-26
9015,Circles,Post Malone,1,15,54,16,2020-09-26
9016,Break My Heart,Dua Lipa,13,16,24,17,2020-09-26
9017,Adore You,Harry Styles,6,18,40,18,2020-09-26
9018,Come & Go,Juice WRLD x Marshmello,2,19,9,19,2020-09-26
9019,Tap In,Saweetie,20,21,9,20,2020-09-26
9020,Mood Swings,Pop Smoke Featuring Lil Tjay,17,20,10,21,2020-09-26
9021,One Of Them Girls,Lee Brice,22,33,15,22,2020-09-26
9022,Lovin' On You,Luke Combs,23,26,11,23,2020-09-26
9023,Be Like That,Kane Brown With Swae Lee & Khalid,22,22,9,24,2020-09-26
9024,Don't Start Now,Dua Lipa,2,23,45,25,2020-09-26
9025,Got What I Got,Jason Aldean,26,31,15,26,2020-09-26
9026,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,29,10,27,2020-09-26
9027,The Bones,Maren Morris,12,28,51,28,2020-09-26
9028,Hit Different,SZA Featuring Ty Dolla $ign,29,0,1,29,2020-09-26
9029,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,27,24,30,2020-09-26
9030,Die From A Broken Heart,Maddie & Tae,22,25,22,31,2020-09-26
9031,Savage,Megan Thee Stallion,1,30,26,32,2020-09-26
9032,Life Is Good,Future Featuring Drake,2,39,35,33,2020-09-26
9033,Midnight Sky,Miley Cyrus,14,37,4,34,2020-09-26
9034,Rags2Riches,Rod Wave Featuring ATR Son Son,12,32,11,35,2020-09-26
9035,Cool Again,Kane Brown,36,41,15,36,2020-09-26
9036,Rain On Me,Lady Gaga & Ariana Grande,1,34,16,37,2020-09-26
9037,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,38,54,4,38,2020-09-26
9038,Death Bed,Powfu Featuring beabadoobee,23,36,26,39,2020-09-26
9039,Say So,Doja Cat Featuring Nicki Minaj,1,46,36,40,2020-09-26
9040,Blueberry Faygo,Lil Mosey,8,35,31,41,2020-09-26
9041,Chasin' You,Morgan Wallen,16,47,33,42,2020-09-26
9042,Wishing Well,Juice WRLD,5,40,9,43,2020-09-26
9043,Nobody's Love,Maroon 5,41,48,7,44,2020-09-26
9044,Girls In The Hood,Megan Thee Stallion,28,44,11,45,2020-09-26
9045,Heather,Conan Gray,46,51,4,46,2020-09-26
9046,We Paid,Lil Baby & 42 Dugg,10,50,19,47,2020-09-26
9047,Intentions,Justin Bieber Featuring Quavo,5,49,31,48,2020-09-26
9048,Ice Cream,BLACKPINK X Selena Gomez,13,13,2,49,2020-09-26
9049,Like That,Doja Cat Featuring Gucci Mane,50,53,15,50,2020-09-26
9050,Bang!,AJR,51,58,10,51,2020-09-26
9051,Cardigan,Taylor Swift,1,45,7,52,2020-09-26
9052,More Than My Hometown,Morgan Wallen,53,63,13,53,2020-09-26
9053,I Should Probably Go To Bed,Dan + Shay,43,61,6,54,2020-09-26
9054,Hawai,Maluma & The Weeknd,55,60,3,55,2020-09-26
9055,One Margarita,Luke Bryan,19,43,19,56,2020-09-26
9056,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,57,72,14,57,2020-09-26
9057,The Bigger Picture,Lil Baby,3,52,13,58,2020-09-26
9058,ily,Surf Mesa Featuring Emilee,59,70,16,59,2020-09-26
9059,Breaking Me,Topic & A7S,60,71,7,60,2020-09-26
9060,Party Girl,StaySolidRocky,21,55,20,61,2020-09-26
9061,The Voice,Lil Durk,62,0,1,62,2020-09-26
9062,Do It,Chloe X Halle,63,0,4,63,2020-09-26
9063,Relacion,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",64,0,1,64,2020-09-26
9064,Wolves,Big Sean Featuring Post Malone,65,0,1,65,2020-09-26
9065,Kings & Queens,Ava Max,66,75,5,66,2020-09-26
9066,Greece,DJ Khaled Featuring Drake,8,65,8,67,2020-09-26
9067,My Ex's Best Friend,Machine Gun Kelly X blackbear,68,68,4,68,2020-09-26
9068,Lithuania,Big Sean Featuring Travis Scott,69,0,1,69,2020-09-26
9069,Some Girls,Jameson Rodgers,70,74,5,70,2020-09-26
9070,Said Sum,Moneybagg Yo,44,64,10,71,2020-09-26
9071,7 Summers,Morgan Wallen,6,56,4,72,2020-09-26
9072,24,Money Man Featuring Lil Baby,63,67,4,73,2020-09-26
9073,Smile,Juice WRLD & The Weeknd,8,59,5,74,2020-09-26
9074,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,69,7,75,2020-09-26
9075,Caramelo,Ozuna x Karol G x Myke Towers,76,84,4,76,2020-09-26
9076,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,81,7,77,2020-09-26
9077,Over Now,Calvin Harris X The Weeknd,38,38,2,78,2020-09-26
9078,Pretty Heart,Parker McCollum,75,80,9,79,2020-09-26
9079,I Called Mama,Tim McGraw,61,82,6,80,2020-09-26
9080,Martin & Gina,Polo G,61,85,6,81,2020-09-26
9081,Deep Reverence,Big Sean Featuring Nipsey Hussle,82,0,1,82,2020-09-26
9082,Starting Over,Chris Stapleton,57,57,2,83,2020-09-26
9083,One Night Standards,Ashley McBryde,76,77,14,84,2020-09-26
9084,You Broke Me First.,Tate McRae,85,87,3,85,2020-09-26
9085,Lets Link,WhoHeem,86,90,2,86,2020-09-26
9086,Kacey Talk,YoungBoy Never Broke Again,58,73,4,87,2020-09-26
9087,Dollaz On My Head,Gunna Featuring Young Thug,38,86,14,88,2020-09-26
9088,Ain't Always The Cowboy,Jon Pardi,89,99,2,89,2020-09-26
9089,My Future,Billie Eilish,6,78,6,90,2020-09-26
9090,Love You Like I Used To,Russell Dickerson,91,0,1,91,2020-09-26
9091,Lonely If You Are,Chase Rice,92,93,4,92,2020-09-26
9092,Why We Drink,Justin Moore,50,76,15,93,2020-09-26
9093,After Party,Don Toliver,57,89,20,94,2020-09-26
9094,Body Language,Big Sean Featuring Ty Dolla $ign & Jhene Aiko,95,0,1,95,2020-09-26
9095,Everywhere But On,Matt Stell,96,0,1,96,2020-09-26
9096,Why Would I Stop?,Big Sean,97,0,1,97,2020-09-26
9097,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,95,5,98,2020-09-26
9098,Need It,Migos Featuring YoungBoy Never Broke Again,62,88,15,99,2020-09-26
9099,Stuck With U,Ariana Grande & Justin Bieber,1,91,18,100,2020-09-26
9100,WAP,Cardi B Featuring Megan Thee Stallion,1,1,6,1,2020-10-03
9101,Dynamite,BTS,1,2,4,2,2020-10-03
9102,Laugh Now Cry Later,Drake Featuring Lil Durk,2,3,5,3,2020-10-03
9103,Rockstar,DaBaby Featuring Roddy Ricch,1,4,22,4,2020-10-03
9104,Blinding Lights,The Weeknd,1,5,42,5,2020-10-03
9105,Mood,24kGoldn Featuring iann dior,6,6,6,6,2020-10-03
9106,Watermelon Sugar,Harry Styles,1,7,26,7,2020-10-03
9107,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,9,14,8,2020-10-03
9108,Before You Go,Lewis Capaldi,9,11,33,9,2020-10-03
9109,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,8,32,10,2020-10-03
9110,I Hope,Gabby Barrett Featuring Charlie Puth,10,12,38,11,2020-10-03
9111,Popstar,DJ Khaled Featuring Drake,3,10,9,12,2020-10-03
9112,Go Crazy,Chris Brown & Young Thug,9,14,19,13,2020-10-03
9113,Roses,SAINt JHN,4,13,26,14,2020-10-03
9114,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,15,11,15,2020-10-03
9115,Circles,Post Malone,1,16,55,16,2020-10-03
9116,Come & Go,Juice WRLD x Marshmello,2,19,10,17,2020-10-03
9117,Adore You,Harry Styles,6,18,41,18,2020-10-03
9118,One Of Them Girls,Lee Brice,19,22,16,19,2020-10-03
9119,Break My Heart,Dua Lipa,13,17,25,20,2020-10-03
9120,Got What I Got,Jason Aldean,21,26,16,21,2020-10-03
9121,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,22,38,5,22,2020-10-03
9122,Lovin' On You,Luke Combs,23,23,12,23,2020-10-03
9123,Tap In,Saweetie,20,20,10,24,2020-10-03
9124,Be Like That,Kane Brown With Swae Lee & Khalid,22,24,10,25,2020-10-03
9125,Mood Swings,Pop Smoke Featuring Lil Tjay,17,21,11,26,2020-10-03
9126,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,27,11,27,2020-10-03
9127,Don't Start Now,Dua Lipa,2,25,46,28,2020-10-03
9128,The Bones,Maren Morris,12,28,52,29,2020-10-03
9129,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,30,25,30,2020-10-03
9130,Cool Again,Kane Brown,31,36,16,31,2020-10-03
9131,Rags2Riches,Rod Wave Featuring ATR Son Son,12,35,12,32,2020-10-03
9132,Life Is Good,Future Featuring Drake,2,33,36,33,2020-10-03
9133,Midnight Sky,Miley Cyrus,14,34,5,34,2020-10-03
9134,My Window,YoungBoy Never Broke Again Featuring Lil Wayne,35,0,1,35,2020-10-03
9135,OK Not To Be OK,Marshmello & Demi Lovato,36,0,1,36,2020-10-03
9136,Rain On Me,Lady Gaga & Ariana Grande,1,37,17,37,2020-10-03
9137,Die From A Broken Heart,Maddie & Tae,22,31,23,38,2020-10-03
9138,More Than My Hometown,Morgan Wallen,39,53,14,39,2020-10-03
9139,Savage,Megan Thee Stallion,1,32,27,40,2020-10-03
9140,Bang!,AJR,41,51,11,41,2020-10-03
9141,Wishing Well,Juice WRLD,5,43,10,42,2020-10-03
9142,Chasin' You,Morgan Wallen,16,42,34,43,2020-10-03
9143,Drug Addiction,YoungBoy Never Broke Again,44,0,1,44,2020-10-03
9144,I Should Probably Go To Bed,Dan + Shay,43,54,7,45,2020-10-03
9145,We Paid,Lil Baby & 42 Dugg,10,47,20,46,2020-10-03
9146,Blueberry Faygo,Lil Mosey,8,41,32,47,2020-10-03
9147,Say So,Doja Cat Featuring Nicki Minaj,1,40,37,48,2020-10-03
9148,ily,Surf Mesa Featuring Emilee,49,59,17,49,2020-10-03
9149,Kacey Talk,YoungBoy Never Broke Again,50,87,5,50,2020-10-03
9150,Heather,Conan Gray,46,46,5,51,2020-10-03
9151,Cardigan,Taylor Swift,1,52,8,52,2020-10-03
9152,Girls In The Hood,Megan Thee Stallion,28,45,12,53,2020-10-03
9153,Like That,Doja Cat Featuring Gucci Mane,50,50,16,54,2020-10-03
9154,Breaking Me,Topic & A7S,55,60,8,55,2020-10-03
9155,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,56,57,15,56,2020-10-03
9156,Kings & Queens,Ava Max,57,66,6,57,2020-10-03
9157,Hawai,Maluma & The Weeknd,55,55,4,58,2020-10-03
9158,One Margarita,Luke Bryan,19,56,20,59,2020-10-03
9159,Said Sum,Moneybagg Yo,44,71,11,60,2020-10-03
9160,Ice Cream,BLACKPINK X Selena Gomez,13,49,3,61,2020-10-03
9161,Some Girls,Jameson Rodgers,62,70,6,62,2020-10-03
9162,Nobody's Love,Maroon 5,41,44,8,63,2020-10-03
9163,7 Summers,Morgan Wallen,6,72,5,64,2020-10-03
9164,Gone Too Soon,Andrew Jannakos,65,0,1,65,2020-10-03
9165,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,77,8,66,2020-10-03
9166,All In,YoungBoy Never Broke Again,67,0,3,67,2020-10-03
9167,24,Money Man Featuring Lil Baby,63,73,5,68,2020-10-03
9168,You Broke Me First.,Tate McRae,69,85,4,69,2020-10-03
9169,My Ex's Best Friend,Machine Gun Kelly X blackbear,68,68,5,70,2020-10-03
9170,The Bigger Picture,Lil Baby,3,58,14,71,2020-10-03
9171,Dead Trollz,YoungBoy Never Broke Again,72,0,1,72,2020-10-03
9172,Pretty Heart,Parker McCollum,73,79,10,73,2020-10-03
9173,Greece,DJ Khaled Featuring Drake,8,67,9,74,2020-10-03
9174,Relacion,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",64,64,2,75,2020-10-03
9175,Cross Roads,YoungBoy Never Broke Again,76,0,1,76,2020-10-03
9176,Hit Different,SZA Featuring Ty Dolla $ign,29,29,2,77,2020-10-03
9177,I Called Mama,Tim McGraw,61,80,7,78,2020-10-03
9178,Smile,Juice WRLD & The Weeknd,8,74,6,79,2020-10-03
9179,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,75,8,80,2020-10-03
9180,The Last Backyard...,YoungBoy Never Broke Again,81,0,1,81,2020-10-03
9181,Over Now,Calvin Harris X The Weeknd,38,78,3,82,2020-10-03
9182,What You Know Bout Love,Pop Smoke,52,0,2,83,2020-10-03
9183,Martin & Gina,Polo G,61,81,7,84,2020-10-03
9184,Caramelo,Ozuna x Karol G x Myke Towers,76,76,5,85,2020-10-03
9185,Do It,Chloe X Halle,63,63,5,86,2020-10-03
9186,Love You Like I Used To,Russell Dickerson,87,91,2,87,2020-10-03
9187,Right Foot Creep,YoungBoy Never Broke Again,88,0,1,88,2020-10-03
9188,Starting Over,Chris Stapleton,57,83,3,89,2020-10-03
9189,One Night Standards,Ashley McBryde,76,84,15,90,2020-10-03
9190,Lonely If You Are,Chase Rice,91,92,5,91,2020-10-03
9191,Dollaz On My Head,Gunna Featuring Young Thug,38,88,15,92,2020-10-03
9192,Ain't Always The Cowboy,Jon Pardi,89,89,3,93,2020-10-03
9193,Everywhere But On,Matt Stell,94,96,2,94,2020-10-03
9194,You Got It,VEDO,95,0,1,95,2020-10-03
9195,Lets Link,WhoHeem,86,86,3,96,2020-10-03
9196,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,0,12,97,2020-10-03
9197,Dirty Stick,YoungBoy Never Broke Again,98,0,1,98,2020-10-03
9198,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,98,6,99,2020-10-03
9199,Got It On Me,Pop Smoke,31,0,10,100,2020-10-03
9200,Dynamite,BTS,1,2,5,1,2020-10-10
9201,WAP,Cardi B Featuring Megan Thee Stallion,1,1,7,2,2020-10-10
9202,Holy,Justin Bieber Featuring Chance The Rapper,3,0,1,3,2020-10-10
9203,Laugh Now Cry Later,Drake Featuring Lil Durk,2,3,6,4,2020-10-10
9204,Mood,24kGoldn Featuring iann dior,5,6,7,5,2020-10-10
9205,Rockstar,DaBaby Featuring Roddy Ricch,1,4,23,6,2020-10-10
9206,Blinding Lights,The Weeknd,1,5,43,7,2020-10-10
9207,Watermelon Sugar,Harry Styles,1,7,27,8,2020-10-10
9208,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,8,15,9,2020-10-10
9209,I Hope,Gabby Barrett Featuring Charlie Puth,10,11,39,10,2020-10-10
9210,Before You Go,Lewis Capaldi,9,9,34,11,2020-10-10
9211,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,10,33,12,2020-10-10
9212,Go Crazy,Chris Brown & Young Thug,9,13,20,13,2020-10-10
9213,Popstar,DJ Khaled Featuring Drake,3,12,10,14,2020-10-10
9214,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,15,12,15,2020-10-10
9215,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,16,22,6,16,2020-10-10
9216,Circles,Post Malone,1,16,56,17,2020-10-10
9217,Roses,SAINt JHN,4,14,27,18,2020-10-10
9218,Come & Go,Juice WRLD x Marshmello,2,17,11,19,2020-10-10
9219,Mood Swings,Pop Smoke Featuring Lil Tjay,17,26,12,20,2020-10-10
9220,Got What I Got,Jason Aldean,21,21,17,21,2020-10-10
9221,One Of Them Girls,Lee Brice,19,19,17,22,2020-10-10
9222,Adore You,Harry Styles,6,18,42,23,2020-10-10
9223,Said Sum,Moneybagg Yo,24,60,12,24,2020-10-10
9224,Break My Heart,Dua Lipa,13,20,26,25,2020-10-10
9225,Lovin' On You,Luke Combs,23,23,13,26,2020-10-10
9226,Be Like That,Kane Brown With Swae Lee & Khalid,22,25,11,27,2020-10-10
9227,Tap In,Saweetie,20,24,11,28,2020-10-10
9228,Cool Again,Kane Brown,29,31,17,29,2020-10-10
9229,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,27,12,30,2020-10-10
9230,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,30,26,31,2020-10-10
9231,Don't Start Now,Dua Lipa,2,28,47,32,2020-10-10
9232,Bang!,AJR,33,41,12,33,2020-10-10
9233,More Than My Hometown,Morgan Wallen,34,39,15,34,2020-10-10
9234,Rags2Riches,Rod Wave Featuring ATR Son Son,12,32,13,35,2020-10-10
9235,Life Is Good,Future Featuring Drake,2,33,37,36,2020-10-10
9236,ily,Surf Mesa Featuring Emilee,37,49,18,37,2020-10-10
9237,Kings & Queens,Ava Max,38,57,7,38,2020-10-10
9238,Midnight Sky,Miley Cyrus,14,34,6,39,2020-10-10
9239,Chasin' You,Morgan Wallen,16,43,35,40,2020-10-10
9240,Rain On Me,Lady Gaga & Ariana Grande,1,37,18,41,2020-10-10
9241,I Should Probably Go To Bed,Dan + Shay,42,45,8,42,2020-10-10
9242,Some Girls,Jameson Rodgers,43,62,7,43,2020-10-10
9243,Die From A Broken Heart,Maddie & Tae,22,38,24,44,2020-10-10
9244,Wishing Well,Juice WRLD,5,42,11,45,2020-10-10
9245,We Paid,Lil Baby & 42 Dugg,10,46,21,46,2020-10-10
9246,Say So,Doja Cat Featuring Nicki Minaj,1,48,38,47,2020-10-10
9247,Savage,Megan Thee Stallion,1,40,28,48,2020-10-10
9248,Cardigan,Taylor Swift,1,52,9,49,2020-10-10
9249,Blueberry Faygo,Lil Mosey,8,47,33,50,2020-10-10
9250,Diamonds,Sam Smith,51,0,1,51,2020-10-10
9251,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,52,56,16,52,2020-10-10
9252,Breaking Me,Topic & A7S,53,55,9,53,2020-10-10
9253,Heather,Conan Gray,46,51,6,54,2020-10-10
9254,Hawai,Maluma & The Weeknd,55,58,5,55,2020-10-10
9255,What You Know Bout Love,Pop Smoke,52,83,3,56,2020-10-10
9256,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,56,66,9,57,2020-10-10
9257,My Ex's Best Friend,Machine Gun Kelly X blackbear,58,70,6,58,2020-10-10
9258,7 Summers,Morgan Wallen,6,64,6,59,2020-10-10
9259,24,Money Man Featuring Lil Baby,60,68,6,60,2020-10-10
9260,Pretty Heart,Parker McCollum,61,73,11,61,2020-10-10
9261,One Too Many,Keith Urban Duet With P!nk,62,0,1,62,2020-10-10
9262,You Broke Me First.,Tate McRae,63,69,5,63,2020-10-10
9263,Like That,Doja Cat Featuring Gucci Mane,50,54,17,64,2020-10-10
9264,Greece,DJ Khaled Featuring Drake,8,74,10,65,2020-10-10
9265,Ice Cream,BLACKPINK X Selena Gomez,13,61,4,66,2020-10-10
9266,I Called Mama,Tim McGraw,61,78,8,67,2020-10-10
9267,Girls In The Hood,Megan Thee Stallion,28,53,13,68,2020-10-10
9268,The Bigger Picture,Lil Baby,3,71,15,69,2020-10-10
9269,Without You,Luke Combs Featuring Amanda Shires,70,0,1,70,2020-10-10
9270,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63,80,9,71,2020-10-10
9271,Kacey Talk,YoungBoy Never Broke Again,50,50,6,72,2020-10-10
9272,Starting Over,Chris Stapleton,57,89,4,73,2020-10-10
9273,Martin & Gina,Polo G,61,84,8,74,2020-10-10
9274,OK Not To Be OK,Marshmello & Demi Lovato,36,36,2,75,2020-10-10
9275,Relacion,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",64,75,3,76,2020-10-10
9276,Love You Like I Used To,Russell Dickerson,77,87,3,77,2020-10-10
9277,Smile,Juice WRLD & The Weeknd,8,79,7,78,2020-10-10
9278,Ain't Always The Cowboy,Jon Pardi,79,93,4,79,2020-10-10
9279,Dolly,Lil Tecca & Lil Uzi Vert,80,0,1,80,2020-10-10
9280,Hit Different,SZA Featuring Ty Dolla $ign,29,77,3,81,2020-10-10
9281,Nobody's Love,Maroon 5,41,63,9,82,2020-10-10
9282,Everywhere But On,Matt Stell,83,94,3,83,2020-10-10
9283,Caramelo,Ozuna x Karol G x Myke Towers,76,85,6,84,2020-10-10
9284,Do It,Chloe X Halle,63,86,6,85,2020-10-10
9285,Over Now,Calvin Harris X The Weeknd,38,82,4,86,2020-10-10
9286,Dollaz On My Head,Gunna Featuring Young Thug,38,92,16,87,2020-10-10
9287,You Got It,VEDO,88,95,2,88,2020-10-10
9288,My Window,YoungBoy Never Broke Again Featuring Lil Wayne,35,35,2,89,2020-10-10
9289,When You Down,Lil Tecca & Polo G Featuring Lil Durk,90,0,1,90,2020-10-10
9290,Me Gusta,Anitta Featuring Cardi B & Myke Towers,91,0,1,91,2020-10-10
9291,Wet. (She Got That...) ,YFN Lucci,92,0,1,92,2020-10-10
9292,Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj,93,0,1,93,2020-10-10
9293,Lonely If You Are,Chase Rice,91,91,6,94,2020-10-10
9294,Blind,DaBaby Featuring Young Thug,95,0,1,95,2020-10-10
9295,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,97,13,96,2020-10-10
9296,Drug Addiction,YoungBoy Never Broke Again,44,44,2,97,2020-10-10
9297,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,99,7,98,2020-10-10
9298,B.S.,Jhene Aiko Featuring H.E.R.,24,0,8,99,2020-10-10
9299,Wolves,Big Sean Featuring Post Malone,65,0,2,100,2020-10-10
9300,Franchise,Travis Scott Featuring Young Thug & M.I.A.,1,0,1,1,2020-10-17
9301,Dynamite,BTS,1,1,6,2,2020-10-17
9302,WAP,Cardi B Featuring Megan Thee Stallion,1,2,8,3,2020-10-17
9303,Laugh Now Cry Later,Drake Featuring Lil Durk,2,4,7,4,2020-10-17
9304,Mood,24kGoldn Featuring iann dior,5,5,8,5,2020-10-17
9305,Blinding Lights,The Weeknd,1,7,44,6,2020-10-17
9306,Rockstar,DaBaby Featuring Roddy Ricch,1,6,24,7,2020-10-17
9307,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7,9,16,8,2020-10-17
9308,Watermelon Sugar,Harry Styles,1,8,28,9,2020-10-17
9309,I Hope,Gabby Barrett Featuring Charlie Puth,10,10,40,10,2020-10-17
9310,Before You Go,Lewis Capaldi,9,11,35,11,2020-10-17
9311,Holy,Justin Bieber Featuring Chance The Rapper,3,3,2,12,2020-10-17
9312,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,12,34,13,2020-10-17
9313,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,14,16,7,14,2020-10-17
9314,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,15,13,15,2020-10-17
9315,Go Crazy,Chris Brown & Young Thug,9,13,21,16,2020-10-17
9316,Circles,Post Malone,1,17,57,17,2020-10-17
9317,One Of Them Girls,Lee Brice,18,22,18,18,2020-10-17
9318,Got What I Got,Jason Aldean,19,21,18,19,2020-10-17
9319,Come & Go,Juice WRLD x Marshmello,2,19,12,20,2020-10-17
9320,Popstar,DJ Khaled Featuring Drake,3,14,11,21,2020-10-17
9321,Roses,SAINt JHN,4,18,28,22,2020-10-17
9322,Be Like That,Kane Brown With Swae Lee & Khalid,22,27,12,23,2020-10-17
9323,Adore You,Harry Styles,6,23,43,24,2020-10-17
9324,Break My Heart,Dua Lipa,13,25,27,25,2020-10-17
9325,Lovin' On You,Luke Combs,23,26,14,26,2020-10-17
9326,Mood Swings,Pop Smoke Featuring Lil Tjay,17,20,13,27,2020-10-17
9327,My Ex's Best Friend,Machine Gun Kelly X blackbear,28,58,7,28,2020-10-17
9328,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,30,13,29,2020-10-17
9329,Tap In,Saweetie,20,28,12,30,2020-10-17
9330,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,31,27,31,2020-10-17
9331,Bang!,AJR,32,33,13,32,2020-10-17
